status,style,street,city,zip_code,beds,full_baths,half_baths,sqft,year_built,list_price,sold_price,price_per_sqft,latitude,longitude,county,house_age,style_CONDO,style_CONDOS,style_COOP,style_LAND,style_MOBILE,style_MULTI_FAMILY,style_OTHER,style_SINGLE_FAMILY,style_TOWNHOMES,total_baths,beds_times_sqft,total_baths_times_sqft
SOLD,COOP,70 E 10th St,New York,10003,2.0,1.0,0.0,1500.0,1960.0,1845000.0,1800000,1200.0,40.731191,-73.9911,New York,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000.0,1500.0
SOLD,CONDOS,41A  Country Dr,Staten Island,10314,2.0,1.0,1.0,957.0,1988.0,350000.0,361000,377.0,40.588206,-74.163694,Richmond,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1914.0,1435.5
SOLD,SINGLE_FAMILY,191-11  104th Ave,Jamaica,11412,3.0,2.0,1.0,1381.5,1995.0,598000.0,750000,542.8881650380022,40.707134,-73.766226,Queens,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,4144.5,3453.75
SOLD,MULTI_FAMILY,2608  Haring St,Brooklyn,11235,3.0,2.0,1.0,2225.0,1950.0,1175000.0,1175000,528.0,40.589369,-73.939066,Kings,74.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,6675.0,5562.5
SOLD,SINGLE_FAMILY,7604  11th Ave,Brooklyn,11228,3.0,2.0,0.0,1080.0,1930.0,1088000.0,980000,907.0,40.622366,-74.012802,Kings,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3240.0,2160.0
SOLD,MULTI_FAMILY,112-17  95th Ave,Richmond Hill South,11419,8.0,3.0,0.0,1381.5,1925.0,1250000.0,850000,615.2732537097357,40.691244,-73.832469,Queens,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11052.0,4144.5
SOLD,COOP,57-77  246 Cres,Little Neck,11362,1.0,1.0,0.0,1381.5,1950.0,215888.0,211000,152.73253709735795,40.759148,-73.733871,Queens,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1381.5,1381.5
SOLD,CONDOS,4 E 62nd St,New York,10065,5.0,1.0,0.0,4500.0,1910.0,6950000.0,6950000,1544.0,40.765712,-73.971167,New York,114.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22500.0,4500.0
SOLD,COOP,3901  Nostrand Ave,Brooklyn,11235,1.0,1.0,0.0,845.0,1961.0,288000.0,275000,325.0,40.5886,-73.9394,Kings,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,845.0,845.0
SOLD,SINGLE_FAMILY,615  Yetman Ave,Staten Island,10307,3.0,1.0,1.0,1620.0,2002.0,849999.0,860000,531.0,40.50075,-74.239933,Richmond,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,4860.0,2430.0
SOLD,SINGLE_FAMILY,371  Melba St,Staten Island,10314,3.0,1.0,1.0,1216.0,1975.0,658000.0,620000,510.0,40.603197,-74.124018,Richmond,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3648.0,1824.0
SOLD,MULTI_FAMILY,716  Vincent Ave,Bronx,10465,9.0,6.0,0.0,3726.0,2004.0,1500000.0,1375000,369.0,40.829313,-73.816705,Bronx,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,33534.0,22356.0
SOLD,COOP,475  Park Ave,New York,10022,1.0,1.0,0.0,1381.5,1908.0,650000.0,635000,459.6453130655085,40.761926,-73.970053,New York,116.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1381.5,1381.5
SOLD,SINGLE_FAMILY,74  Ludlow St,Staten Island,10312,3.0,1.0,1.0,1280.0,1978.0,579900.0,576900,451.0,40.552873,-74.179595,Richmond,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3840.0,1920.0
